REID,Pin Num,Land Value , Bldg Value , Misc Imprv Value ,  Deferred & Exempt Value,Total Taxable Value
4030,7654663603,12500,48368,1600,0,62468
4036,7642667930,14000,58903,0,0,72903
4038,7643820932,19000,6934,800,0,26734
4041,7638429330,16425,1002,0,0,17427
4042,7624448486,44395,67901,28187,0,140483
4043,7624448486,0,0,550,0,550
4045,7638327661,55315,35959,500,16498,75276
4049,7657331711,22242,339,1500,0,24081
4051,7654015722,39682,6497,0,0,46179
4052,7657331711,0,5519,300,0,5819
4057,7657013914,12000,10916,3000,0,25916
4071,7633018437,110000,147500,19500,0,277000
4075,7642568169,0,44446,100,0,44546
4091,7692609242,24800,72525,600,0,97925
4093,7663139773,40626,3999,13023,0,57648
4095,7657011609,101450,95378,6100,0,202928
4101,7647273793,10000,19511,26,0,29537
4104,7652933090,16500,5096,2000,0,23596
4105,7657142273,15000,5148,200,0,20348
4108,7663738342,42755,128415,5901,0,177071
4116,7623920951,77746,55365,53500,0,186611
4119,7643536988,17750,49767,1843,0,69360
4121,7652777671,10000,52971,300,0,63271
4150,7653195667,105400,15603,100,0,121103
4151,7657044820,15000,65076,1800,0,81876
4156,7647165818,24400,18921,7999,0,51320
4158,9501406703,242000,530526,49031,0,821557
4159,9500190276,750000,295381,101899,0,1147280
4160,9500099214,297500,58510,18750,0,374760
4168,7654139811,10500,10037,0,0,20537
4179,7642217475,24000,8033,3809,0,35842
4212,7652023632,0,2428,0,0,2428
4222,7642216569,20000,95519,12601,0,128120
4232,7662133178,23618,110726,386,0,134730
4235,7652729333,30309,171081,5300,0,206690
4237,7654815350,14000,60964,900,0,75864
4239,7647757407,34000,68904,8700,0,111604
4241,7642789152,31550,119,0,0,31669
4243,7642216011,29166,10328,300,0,39794
4245,7641987796,14200,30759,15702,0,60661
4250,7654913861,0,3027,0,0,3027
4253,7657815063,30934,193238,41000,0,265172
4254,7642313325,22000,73740,18602,0,114342
4256,7657020810,44800,144710,9000,0,198510
4257,7642796509,0,0,250000,0,250000
4258,7641981220,15092,95382,0,0,110474
4264,7654855912,10000,10222,0,0,20222
4270,7619730930,21875,7417,300,0,29592
4271,7657233784,19498,1000,100,0,20598
4277,7664052915,18343,145747,9253,2776,170567
4278,7657242081,15000,156014,0,0,171014
